province,date,avg_relative_humidity
Daejeon,2020-06-22,66.1
Daejeon,2020-06-23,71.4
Daejeon,2020-06-24,84.0
Daejeon,2020-06-25,91.8
Daejeon,2020-06-26,81.5
Daejeon,2020-06-27,79.3
Daejeon,2020-06-28,75.0
Daejeon,2020-06-29,89.9
Daejeon,2020-06-30,96.9
Daejeon,2020-07-01,84.1
Daejeon,2020-07-02,76.8
Daejeon,2020-07-03,80.9
Daejeon,2020-07-04,82.8
Daejeon,2020-07-05,81.1
Daejeon,2020-07-06,84.8
Daejeon,2020-07-07,83.1
Daejeon,2020-07-08,79.9
Daejeon,2020-07-09,76.1
Daejeon,2020-07-10,85.5
Daejeon,2020-07-11,78.3
Daejeon,2020-07-12,89.3
Daejeon,2020-07-13,97.0
Daejeon,2020-07-14,94.8
Daejeon,2020-07-15,92.6
Daejeon,2020-07-16,84.4
Daejeon,2020-07-17,81.1
Daejeon,2020-07-18,75.1
Daejeon,2020-07-19,85.0
Daejeon,2020-07-20,92.9
Daejeon,2020-07-21,79.3
Daejeon,2020-07-22,94.9
Daejeon,2020-07-23,97.0
Daejeon,2020-07-24,96.3
Daejeon,2020-07-25,94.9
Daejeon,2020-07-26,93.5
Daejeon,2020-07-27,90.3
Daejeon,2020-07-28,95.9
Daejeon,2020-07-29,97.0
Daejeon,2020-07-30,96.0
Daejeon,2020-07-31,93.5
Daejeon,2020-08-01,92.0
Daejeon,2020-08-02,86.0
Daejeon,2020-08-03,86.6
Daejeon,2020-08-04,88.5
Daejeon,2020-08-05,95.5
Daejeon,2020-08-06,95.6
Daejeon,2020-08-07,96.9
Daejeon,2020-08-08,97.0
Daejeon,2020-08-09,91.5
Daejeon,2020-08-10,95.5
Daejeon,2020-08-11,95.3
Daejeon,2020-08-12,95.1
Daejeon,2020-08-13,86.1
Daejeon,2020-08-14,86.9
Daejeon,2020-08-15,81.4
Daejeon,2020-08-16,79.4
Daejeon,2020-08-17,82.6
Daejeon,2020-08-18,80.1
Daejeon,2020-08-19,80.4
Daejeon,2020-08-20,76.5
Daejeon,2020-08-21,79.8
Daejeon,2020-08-22,91.5
Daejeon,2020-08-23,80.6
Daejeon,2020-08-24,79.4
Daejeon,2020-08-25,75.8
Daejeon,2020-08-26,78.8
Daejeon,2020-08-27,77.4
Daejeon,2020-08-28,81.0
Daejeon,2020-08-29,90.6
Daejeon,2020-08-30,91.6
Daejeon,2020-08-31,85.0
Gangwon-do,2020-06-01,53.94285714285714
Gangwon-do,2020-06-02,58.86428571428572
Gangwon-do,2020-06-03,65.14285714285715
Gangwon-do,2020-06-04,62.57857142857143
Gangwon-do,2020-06-05,72.75714285714285
Gangwon-do,2020-06-06,68.59285714285714
Gangwon-do,2020-06-07,68.38571428571427
Gangwon-do,2020-06-08,67.87142857142855
Gangwon-do,2020-06-09,64.22142857142858
Gangwon-do,2020-06-10,69.69285714285714
Gangwon-do,2020-06-11,71.72142857142858
Gangwon-do,2020-06-12,78.49285714285713
Gangwon-do,2020-06-13,63.74999999999999
Gangwon-do,2020-06-14,67.40714285714286
Gangwon-do,2020-06-15,52.471428571428575
Gangwon-do,2020-06-16,60.0
Gangwon-do,2020-06-17,63.17857142857143
Gangwon-do,2020-06-18,73.66428571428571
Gangwon-do,2020-06-19,78.28571428571429
Gangwon-do,2020-06-20,75.11428571428571
Gangwon-do,2020-06-21,71.96428571428571
Gangwon-do,2020-06-22,63.128571428571426
Gangwon-do,2020-06-23,68.4142857142857
Gangwon-do,2020-06-24,85.99285714285713
Gangwon-do,2020-06-25,91.8142857142857
Gangwon-do,2020-06-26,76.72857142857143
Gangwon-do,2020-06-27,74.4142857142857
Gangwon-do,2020-06-28,79.36428571428569
Gangwon-do,2020-06-29,83.44285714285715
Gangwon-do,2020-06-30,87.48571428571428
Gangwon-do,2020-07-01,84.89999999999999
Gangwon-do,2020-07-02,73.35714285714285
Gangwon-do,2020-07-03,72.67142857142855
Gangwon-do,2020-07-04,71.59285714285714
Gangwon-do,2020-07-05,72.78571428571428
Gangwon-do,2020-07-06,76.1
Gangwon-do,2020-07-07,79.0
Gangwon-do,2020-07-08,76.61428571428571
Gangwon-do,2020-07-09,77.29285714285713
Gangwon-do,2020-07-10,87.27142857142856
Gangwon-do,2020-07-11,80.63571428571429
Gangwon-do,2020-07-12,80.7142857142857
Gangwon-do,2020-07-13,90.97857142857141
Gangwon-do,2020-07-14,85.87142857142858
Gangwon-do,2020-07-15,80.71428571428571
Gangwon-do,2020-07-16,80.32857142857142
Gangwon-do,2020-07-17,78.39999999999999
Gangwon-do,2020-07-18,79.33571428571429
Gangwon-do,2020-07-19,85.60714285714286
Gangwon-do,2020-07-20,80.89999999999999
Gangwon-do,2020-07-21,74.46428571428571
Gangwon-do,2020-07-22,86.79285714285713
Gangwon-do,2020-07-23,92.40714285714283
Gangwon-do,2020-07-24,88.24285714285713
Gangwon-do,2020-07-25,88.00714285714284
Gangwon-do,2020-07-26,86.10000000000001
Gangwon-do,2020-07-27,93.17857142857142
Gangwon-do,2020-07-28,92.32142857142856
Gangwon-do,2020-07-29,93.84285714285714
Gangwon-do,2020-07-30,89.58571428571429
Gangwon-do,2020-07-31,77.69999999999997
Gangwon-do,2020-08-01,87.80714285714284
Gangwon-do,2020-08-02,89.91428571428573
Gangwon-do,2020-08-03,86.89285714285712
Gangwon-do,2020-08-04,89.22857142857143
Gangwon-do,2020-08-05,95.91428571428573
Gangwon-do,2020-08-06,91.25
Gangwon-do,2020-08-07,89.64999999999999
Gangwon-do,2020-08-08,92.10714285714285
Gangwon-do,2020-08-09,92.36428571428571
Gangwon-do,2020-08-10,92.08571428571427
Gangwon-do,2020-08-11,90.54285714285713
Gangwon-do,2020-08-12,82.02857142857142
Gangwon-do,2020-08-13,81.02857142857144
Gangwon-do,2020-08-14,76.3
Gangwon-do,2020-08-15,88.7642857142857
Gangwon-do,2020-08-16,78.74285714285715
Gangwon-do,2020-08-17,78.89285714285714
Gangwon-do,2020-08-18,77.72857142857141
Gangwon-do,2020-08-19,73.39999999999999
Gangwon-do,2020-08-20,81.29285714285713
Gangwon-do,2020-08-21,87.47857142857143
Gangwon-do,2020-08-22,89.65714285714286
Gangwon-do,2020-08-23,84.72857142857143
Gangwon-do,2020-08-24,81.80714285714284
Gangwon-do,2020-08-25,77.14999999999999
Gangwon-do,2020-08-26,80.6642857142857
Gangwon-do,2020-08-27,81.42857142857143
Gangwon-do,2020-08-28,85.68571428571428
Gangwon-do,2020-08-29,87.70714285714287
Gangwon-do,2020-08-30,91.20714285714284
Gangwon-do,2020-08-31,84.57857142857142
Gwangju,2020-06-01,64.4
Gwangju,2020-06-02,61.3
Gwangju,2020-06-03,83.4
Gwangju,2020-06-04,72.5
Gwangju,2020-06-05,78.6
Gwangju,2020-06-06,83.9
Gwangju,2020-06-07,71.3
Gwangju,2020-06-08,58.6
Gwangju,2020-06-09,55.6
Gwangju,2020-06-10,77.4
Gwangju,2020-06-11,90.0
Gwangju,2020-06-12,86.6
Gwangju,2020-06-13,96.0
Gwangju,2020-06-14,92.1
Gwangju,2020-06-15,68.5
Gwangju,2020-06-16,65.5
Gwangju,2020-06-17,78.9
Gwangju,2020-06-18,98.6
Gwangju,2020-06-19,81.8
Gwangju,2020-06-20,82.5
Gwangju,2020-06-21,77.3
Gwangju,2020-06-22,77.1
Gwangju,2020-06-23,65.1
Gwangju,2020-06-24,88.9
Gwangju,2020-06-25,94.5
Gwangju,2020-06-26,80.4
Gwangju,2020-06-27,80.3
Gwangju,2020-06-28,75.8
Gwangju,2020-06-29,96.8
Gwangju,2020-06-30,96.9
Gwangju,2020-07-01,75.6
Gwangju,2020-07-02,80.4
Gwangju,2020-07-03,88.9
Gwangju,2020-07-04,95.0
Gwangju,2020-07-05,88.4
Gwangju,2020-07-06,95.4
Gwangju,2020-07-07,82.9
Gwangju,2020-07-08,81.1
Gwangju,2020-07-09,82.0
Gwangju,2020-07-10,91.3
Gwangju,2020-07-11,88.1
Gwangju,2020-07-12,94.4
Gwangju,2020-07-13,98.0
Gwangju,2020-07-14,98.8
Gwangju,2020-07-15,98.6
Gwangju,2020-07-16,89.5
Gwangju,2020-07-17,84.0
Gwangju,2020-07-18,79.8
Gwangju,2020-07-19,88.6
Gwangju,2020-07-20,94.1
Gwangju,2020-07-21,87.8
Gwangju,2020-07-22,99.0
Gwangju,2020-07-23,98.4
Gwangju,2020-07-24,98.9
Gwangju,2020-07-25,97.4
Gwangju,2020-07-26,88.8
Gwangju,2020-07-27,94.1
Gwangju,2020-07-28,98.1
Gwangju,2020-07-29,99.0
Gwangju,2020-07-30,96.6
Gwangju,2020-07-31,91.5
Gwangju,2020-08-01,93.5
Gwangju,2020-08-02,91.1
Gwangju,2020-08-03,90.4
Gwangju,2020-08-04,84.4
Gwangju,2020-08-05,89.9
Gwangju,2020-08-06,99.0
Gwangju,2020-08-07,99.0
Gwangju,2020-08-08,98.8
Gwangju,2020-08-09,88.0
Gwangju,2020-08-10,98.4
Gwangju,2020-08-11,98.4
Gwangju,2020-08-12,96.4
Gwangju,2020-08-13,91.3
