code,province,date,avg_relative_humidity
258,Jeollanam-do,2020-06-05,78.9
259,Jeollanam-do,2020-06-05,76
260,Jeollanam-do,2020-06-05,77.3
261,Jeollanam-do,2020-06-05,87
262,Jeollanam-do,2020-06-05,77.8
263,Gyeongsangnam-do,2020-06-05,66.6
264,Gyeongsangnam-do,2020-06-05,57.1
266,Jeollanam-do,2020-06-05,66.9
268,Jeollanam-do,2020-06-05,86
271,Gyeongsangbuk-do,2020-06-05,72.4
272,Gyeongsangbuk-do,2020-06-05,57
273,Gyeongsangbuk-do,2020-06-05,62.3
276,Gyeongsangbuk-do,2020-06-05,75.3
277,Gyeongsangbuk-do,2020-06-05,76.1
278,Gyeongsangbuk-do,2020-06-05,61
279,Gyeongsangbuk-do,2020-06-05,66.8
281,Gyeongsangbuk-do,2020-06-05,65.5
283,Gyeongsangbuk-do,2020-06-05,68.3
284,Gyeongsangnam-do,2020-06-05,63.1
285,Gyeongsangnam-do,2020-06-05,67.6
288,Gyeongsangnam-do,2020-06-05,62.6
289,Gyeongsangnam-do,2020-06-05,69.5
294,Gyeongsangnam-do,2020-06-05,74.1
295,Gyeongsangnam-do,2020-06-05,75.3
90,Gangwon-do,2020-06-06,86
93,Gangwon-do,2020-06-06,62.6
95,Gangwon-do,2020-06-06,73.8
98,Gyeonggi-do,2020-06-06,73.5
99,Gyeonggi-do,2020-06-06,77.9
100,Gangwon-do,2020-06-06,79.6
101,Gangwon-do,2020-06-06,59.8
102,Incheon,2020-06-06,62.3
104,Gangwon-do,2020-06-06,82.3
105,Gangwon-do,2020-06-06,75.8
106,Gangwon-do,2020-06-06,83.4
108,Seoul,2020-06-06,63.6
112,Incheon,2020-06-06,74
114,Gangwon-do,2020-06-06,48.5
115,Gyeongsangbuk-do,2020-06-06,60.4
119,Gyeonggi-do,2020-06-06,72
121,Gangwon-do,2020-06-06,53.5
127,Chungcheongbuk-do,2020-06-06,57.1
129,Chungcheongnam-do,2020-06-06,77
130,Gyeongsangbuk-do,2020-06-06,84.5
131,Chungcheongbuk-do,2020-06-06,57.8
